Nombre repositorio;N°;Enlace;Posición;Calificación FAIR;Descripción del conjunto de datos: Readme o diccionario de datos;Uso de identificador único;Formato del conjunto de datos;Calidad/coherencia de la clasificación;Los archivos se pueden descargar
Repositorio de Datos de Investigación Universidad del Rosario;1;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/1HLELQ;1;75%;0;1;PDF;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;2;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/3FRSIC;2;56%;1;1;PPTX, MP4, DOCX, TAB;No es un dataset;0
Repositorio de Datos de Investigación Universidad del Rosario;3;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/6LQXAQ;3;70%;0;1;PICKLE;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;4;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/AEVYSB;5;56%;0;1;PDF, DOCX, ZIP;No es un dataset;0
Repositorio de Datos de Investigación Universidad del Rosario;5;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/C5BVHJ;6;75%;0;1;XLSX;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;6;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/CHLDF4;7;54%;0;1;NO TIENE NADA;No es un dataset;0
Repositorio de Datos de Investigación Universidad del Rosario;7;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/CLZFOA;8;75%;0;1;PDF;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;8;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/CZCKI6;9;75%;0;1;PDF, TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;9;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/DLTIAB;10;56%;0;1;ZIP;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;10;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/EELSGG;12;56%;0;1;PDF, DOCX, TAB, PPTX, AVI;No es un dataset;0
Repositorio de Datos de Investigación Universidad del Rosario;11;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/0OEPJH;15;54%;1;1;XLSX, TXT;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;12;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/2KVDA7;16;54%;0;1;TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;13;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/6QGLCT;18;75%;0;1;CSV, TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;14;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/8TMRLC;21;62%;0;1;DTA, XLSX, DO, TAB, PDF;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;15;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/9KOME5;22;56%;0;1;PDF, DOCX, XLSX;Es un dataset;0
Repositorio de Datos de Investigación Universidad del Rosario;16;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/9TARP2;23;54%;0;1;GML;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;17;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/CJIIUP;24;54%;0;1;SVG;No es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;18;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/CLNLMG;25;54%;0;1;XLSX;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;19;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/N80QW0;30;54%;0;1;TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;20;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/RD5NIK;32;56%;0;1;PDF, DOCX, TAB;Es un dataset;1
Repositorio de Datos de Investigación Universidad del Rosario;21;https://research-data.urosario.edu.co/dataset.xhtml?persistentId=doi:10.34848/FK2/W03XWG;33;43%;1;1;DO, DTA, XLSX, TAB;Es un dataset;1
